id,name,name_formatted,name_species,category_id
161,miracle-fruit,Miracle fruit,Synsepalum dulcificum,2
162,mizuna-greens,Mizuna greens,Brassica rapa (nipposinica),4
163,moth-bean,Moth bean,Vigna acontifolia,6
164,mulberry,Mulberry,Morus,2
165,mung-bean,Mung bean,Vigna radiata,6
166,mustard,Mustard,Sinapis alba,4
167,nance,Nance,Byrsonima crassifolia,2
168,napa-cabbage,Napa cabbage,Brassica rapa (chinensis),4
169,nectarine,Nectarine,Prunus persica var. nucipersica,2
170,new-zealand-spinach,New Zealand Spinach,Tetragonia tetragonioides,4
171,nopal,Nopal,Opuntia ficus-indica,0
172,okra,Okra,Abelmoschus esculentus,6
173,olive,Olive,Olea europaea,2
174,onion,Onion,Allium cepa,0
175,orache,Orache,Atriplex hortensis,4
176,orange,Orange,Citrus x sinensis,2
177,papaya,Papaya,Carica papaya,2
178,paracress,Paracress,Acmella oleracea,4
179,parsnip,Parsnip,Pastinaca sativa,5
180,passionfruit,Passionfruit,Passiflora edulis,2
181,pea,Pea,Pisum sativum,6
182,peach,Peach,Prunus persica,2
183,peanut,Peanut,Arachis hypogaea,6
184,pear,Pear,Pyrus,2
185,pearl-onion,Pearl onion,Allium ampeloprasum (sectivum),0
186,persimmon,Persimmon,Diospyros kaki,2
187,pigeon-pea,Pigeon pea,Cajanus cajan,6
188,pignut,Pignut,Conopodium majus,5
189,pineapple,Pineapple,Ananas comosus,2
190,plantain,Plantain,Musa x paradisiaca,2
191,plum,Plum,Prunus domestica,2
192,poke,Poke,Phytolacca americana,4
193,pomegranate,Pomegranate,Punica granatum,2
194,pomelo,Pomelo,Citrus maxima,2
195,portabello-mushrooms,Portabello mushrooms,Agaricus bisporus,3
196,potato,Potato,Solanum tuberosum,5
197,potato-onion,Potato onion,Allium cepa (aggregatum),0
198,prairie-turnip,Prairie turnip,Psoralea esculenta,5
199,prune,Prune,Prunus domestica,2
200,prussian-asparagus,Prussian asparagus,Ornithogalum pyrenaicum,0
201,pumpkin,Pumpkin,Cucurbita,2
202,quince,Quince,Cydonia oblonga,2
203,radicchio,Radicchio,Cichorium intybus,4
204,radish,Radish,Raphanus sativus,5
205,raisin,Raisin,Vitis,2
206,rambutan,Rambutan,Nephelium lappaceum,2
207,rapini,Rapini,Brassica rapa rapa,4
208,raspberry,Raspberry,Rubus idaeus,2
209,redcurrant,Redcurrant,Ribes rubrum,2
210,ricebean,Ricebean,Vigna umbellata,6
211,runner-bean,Runner bean,Phaseolus coccineus,6
212,rutabaga,Rutabaga,Brassica napus (napobrassica),5
213,salak,Salak,Salacca zalacca,2
214,salal berry,Salal berry,Gaultheria shallon,2
215,salmonberry,Salmonberry,Rubus spectabilis,2
216,salsify,Salsify,Tragopogon porrifolius,5
217,samphire,Samphire,Crithmum maritimum,4
218,satsuma,Satsuma,Citrus unshiu,2
219,scorzonera,Scorzonera,Scorzonera hispanica,5
220,sculpit,Sculpit,Silene inflata,4
221,sea-beet,Sea beet,Beta vulgaris maritima,4
222,sea-kale,Sea kale,Crambe maritima,4
223,shallot,Shallot,Allium cepa (aggregatum),0
224,shepherds-purse,Shepherd's purse,Capsella_bursa-pastoris,4
225,shiitake-mushrooms,Shiitake mushrooms,Lentinula edodes,3
226,sierra-leone-bologi,Sierra Leone bologi,Crassocephalum,4
227,skirret,Skirret,Sium sisarum,5
228,snap-pea,Snap pea,Pisum sativum (macrocarpon),6
229,snow-pea,Snow pea,Pisum sativum (saccharatum),6
230,soko,Soko,Celosia argentea,4
231,sorrel,Sorrel,Rumex acetosa,4
232,sour-cabbage,Sour cabbage,Brassica oleracea,4
233,soursop,Soursop,Annona muricata,2
234,soybean,Soybean,Glycine max,6
235,spinach,Spinach,Spinacia oleracea,4
236,spring-onion,Spring onion,Allium wakegi,0
237,squash,Squash,Cucurbita,2
238,squash-blossoms,Squash blossoms,Cucurbita,1
239,star-fruit,Star fruit,Averrhoa carambola,2
240,strawberry,Strawberry,Fragaria x ananassa,2
241,summer-purslane,Summer purslane,Portulaca oleracea,4
242,swede,Swede,Brassica napus (napobrassica),5
243,sweet-pepper,Sweet pepper,Capsicum annuum (grossum),2
244,sweet-potato,Sweet potato,Ipomoea batatas,5
245,swiss-chard,Swiss chard,Beta vulgaris cicla (flavescens),4
246,tamarillo,Tamarillo,Solanum betaceum,2
247,tamarind,Tamarind,Tamarindus indica,2
248,tangerine,Tangerine,Citrus tangerina,2
249,taro,Taro,Colocasia esculenta,5
250,tarwi,Tarwi,Lupinus mutabilis,6
251,tatsoi,Tatsoi,Brassica rapa (rosularis),4
252,tepary-bean,Tepary bean,Phaseolus acutifolius,6
253,ti,Ti,Cordyline fruticosa,5
254,tigernut,Tigernut,Cyperus esculentus,5
255,tinda,Tinda,Praecitrullus fistulosus,2
256,tomatillo,Tomatillo,Physalis philadelphica,2
257,tomato,Tomato,Solanum lycopersicum,2
258,tree-onion,Tree onion,Allium x proliferum,0
259,turmeric,Turmeric,Curcuma longa,5
260,turnip,Turnip,Brassica rapa (rapifera),5
261,ugli-fruit,Ugli fruit,Citrus reticulata x Citrus paradisi,2
262,ulluco,Ulluco,Ullucus tuberosus,5
263,urad-bean,Urad bean,Vigna mungo,6
264,vanilla,Vanilla,Vanilla,2
265,velvet-bean,Velvet bean,Mucuna pruriens,6
266,wasabi,Wasabi,Wasabia japonica,5
267,water-caltrop,Water caltrop,Trapa natans,5
268,water-chestnut,Water chestnut,Eleocharis dulcis,5
269,watercress,Watercress,Nasturtium officinale,4
270,watermelon,Watermelon,Citrullus lanatus,2
271,water-spinach,Water spinach,Ipomoea aquatica,4
272,welsh-onion,Welsh onion,Allium fistulosum,0
273,west-indian-gherkin,West Indian gherkin,Cucumis anguria,2
274,wheatgrass,Wheatgrass,Triticum aestivum,4
275,wild-leek,Wild leek,Allium tricoccum,0
276,winged-bean,Winged bean,Psophocarpus tetragonolobus,6
277,winter-melon,Winter melon,Benincasa hispida,2
278,yacon,Yacon,Smallanthus sonchifolius,5
279,yam,Yam,Oxalis tuberosa,5
280,yao-choy,Yao choy,Brassica napus,4
281,yardlong-bean,Yardlong bean,Vigna unguiculata (sesquipedalis),6
282,yarrow,Yarrow,Achillea millefolium,4
283,yuzu,Yuzu,Citrus junos,2
284,zucchini,Zucchini,Cucurbita pepo,2
